mes,Q_gen,Q_total,Q_recoleccion,eta_cadena,bio_hojas,bio_cormo,bio_flores_c,bio_campo_tot,bio_raquis,bio_bracteas,bio_flores_e,bio_manos,costo_log,GEI_total,fertilidad,superficie,residuos_campo,alpha_red,perdida_red,G_max_din,bio_total_verificado
0,92416.5000,0.0000,0.4200,0.4200,9900.0000,4950.0000,1485.0000,85635.0000,2227.5000,792.0000,495.0000,3267.0000,0,6761.7000,0.5000,32000.0000,0.0000,0.0000,92416.5000,3000.0000,23116.5000
1,92755.5791,38814.9300,0.4200,0.4200,9936.3234,4968.1617,1490.4485,85949.1976,2235.6728,794.9059,496.8162,3278.9867,0,6828.0963,0.4990,32124.5478,92416.5000,0.4185,53940.6491,3005.0000,23201.3152
2,93092.9028,55647.7631,0.4200,0.4200,9972.4588,4986.2294,1495.8688,86261.7685,2243.8032,797.7967,498.6229,3290.9114,0,6870.8120,0.4980,32248.5286,132494.6741,0.5978,37445.1397,3009.9900,23285.6913
3,93428.4260,63027.5573,0.4200,0.4200,10008.4013,5004.2006,1501.2602,86572.6711,2251.8903,800.6721,500.4201,3302.7724,0,6903.2676,0.4970,32371.9262,150065.6127,0.6746,30400.8687,3014.9700,23369.6170
4,93762.1042,66341.7886,0.4200,0.4200,10044.1461,5022.0731,1506.6219,86881.8641,2259.9329,803.5317,502.2073,3314.5682,0,6931.2323,0.4960,32494.7246,157956.6395,0.7076,27420.3157,3019.9401,23453.0812
5,94093.8930,67907.0529,0.4200,0.4200,10079.6886,5039.8443,1511.9533,87189.3063,2267.9299,806.3751,503.9844,3326.2972,0,6957.1849,0.4950,32616.9080,161683.4592,0.7217,26186.8402,3024.9002,23536.0729
6,94423.7479,68719.4678,0.4200,0.4200,10115.0239,5057.5119,1517.2536,87494.9566,2275.8804,809.2019,505.7512,3337.9579,0,6982.1893,0.4940,32738.4603,163617.7805,0.7278,25704.2801,3029.8504,23618.5808
7,94751.6243,69207.3453,0.4200,0.4200,10150.1472,5075.0736,1522.5221,87798.7735,2283.7831,812.0118,507.5074,3349.5486,0,7006.7013,0.4930,32859.3656,164779.3935,0.7304,25544.2790,3034.7907,23700.5938
8,95077.4775,69554.8407,0.4200,0.4200,10185.0538,5092.5269,1527.7581,88100.7156,2291.6371,814.8043,509.2527,3361.0678,0,7030.9148,0.4921,32979.6078,165606.7635,0.7316,25522.6368,3039.7211,23782.1007
9,95401.2625,69841.1220,0.4200,0.4200,10219.7389,5109.8694,1532.9608,88400.7413,2299.4412,817.5791,510.9869,3372.5138,0,7054.9114,0.4911,33099.1706,166288.3858,0.7321,25560.1404,3044.6417,23863.0903
10,95722.9340,70100.2127,0.4200,0.4200,10254.1975,5127.0988,1538.1296,88698.8087,2307.1944,820.3358,512.7099,3383.8852,0,7078.7243,0.4901,33218.0380,166905.2684,0.7323,25622.7213,3049.5524,23943.5512
11,96042.4464,70346.7237,0.4200,0.4200,10288.4249,5144.2124,1543.2637,88994.8754,2314.8956,823.0740,514.4212,3395.1802,0,7102.3657,0.4891,33336.1933,167492.1994,0.7325,25695.7227,3054.4533,24023.4721
12,96359.7538,70586.9187,0.4200,0.4200,10322.4161,5161.2080,1548.3624,89288.8988,2322.5436,825.7933,516.1208,3406.3973,0,7125.8390,0.4881,33453.6201,168064.0922,0.7325,25772.8351,3059.3444,24102.8415
13,96674.8098,70823.4717,0.4200,0.4200,10356.1660,5178.0830,1553.4249,89580.8361,2330.1374,828.4933,517.8083,3417.5348,0,7149.1437,0.4872,33570.3016,168627.3135,0.7326,25851.3382,3064.2257,24181.6477
14,96987.5675,71057.5129,0.4200,0.4200,10389.6698,5194.8349,1558.4505,89870.6437,2337.6757,831.1736,519.4835,3428.5910,0,7172.2775,0.4862,33686.2210,169184.5546,0.7326,25930.0545,3069.0972,24259.8790
15,97297.9793,71289.5089,0.4200,0.4200,10422.9223,5211.4611,1563.4383,90158.2776,2345.1575,833.8338,521.1461,3439.5643,0,7195.2375,0.4852,33801.3612,169736.9260,0.7327,26008.4704,3073.9590,24337.5235
16,97605.9973,71519.6402,0.4200,0.4200,10455.9183,5227.9591,1568.3877,90443.6933,2352.5816,836.4735,522.7959,3450.4530,0,7218.0204,0.4842,33915.7047,170284.8575,0.7327,26086.3572,3078.8111,24414.5692
17,97911.5727,71747.9641,0.4200,0.4200,10488.6527,5244.3263,1573.2979,90726.8456,2359.9469,839.0922,524.4326,3461.2554,0,7240.6226,0.4833,34029.2341,170828.4861,0.7328,26163.6085,3083.6535,24491.0040
18,98214.6558,71974.4851,0.4200,0.4200,10521.1201,5260.5600,1578.1680,91007.6885,2367.2520,841.6896,526.0560,3471.9696,0,7263.0405,0.4823,34141.9315,171367.8217,0.7328,26240.1707,3088.4862,24566.8153
