metodo,w1,w2,w3,w4,FO1_kUSD,FO2_tCO2,FO3_emp,FO4_pct,FO1_norm,FO2_norm,FO3_norm,FO4_norm,dist_utopico,n_tec,tec_list,fo_principal
suma_ponderada,0.0,0.25,0.25,0.5,42003.58,1917.955,14242.881,100.0,1.0,0.2247,0.3544,0.0,1.0845,5,"['molienda', 'secado', 'compostaje', 'pirolisis', 'carbonizacion']",
suma_ponderada,0.0,0.5,0.25,0.25,27748.51,1313.659,14056.944,100.0,1.0,0.2181,0.3669,0.0,1.0873,5,"['molienda', 'secado', 'compostaje', 'pirolisis', 'carbonizacion']",
suma_ponderada,0.0,0.5,0.5,0.0,26446.95,1917.955,14242.881,100.0,1.0,0.2247,0.3544,0.0,1.0845,5,"['molienda', 'secado', 'compostaje', 'pirolisis', 'carbonizacion']",
suma_ponderada,0.0,0.75,0.0,0.25,51440.79,-6495.755,9148.169,100.0,0.9953,0.1337,0.6958,0.0,1.2217,5,"['molienda', 'secado', 'compostaje', 'pirolisis', 'carbonizacion']",
suma_ponderada,0.0,0.75,0.25,0.0,38060.66,-16536.431,7809.412,76.0,1.0,0.0251,0.7855,0.0,1.2718,5,"['molienda', 'secado', 'compostaje', 'pirolisis', 'carbonizacion']",
suma_ponderada,0.0,1.0,0.0,0.0,50.0,-22515.884,4201.004,26.59,1.0,0.0,1.0,0.3668,1.461,6,"['molienda', 'secado', 'compostaje', 'extraccion_solventes', 'pirolisis', 'carbonizacion']",
suma_ponderada,0.25,0.0,0.0,0.75,356532.69,50017.429,10710.052,100.0,0.0,0.7447,0.5911,0.0,0.9508,5,"['molienda', 'secado', 'compostaje', 'extraccion_solventes', 'hidrolisis_enzimatica']",
suma_ponderada,0.25,0.0,0.25,0.5,339844.72,58988.955,15767.576,100.0,0.0544,0.8417,0.2523,0.0,0.8804,5,"['molienda', 'secado', 'compostaje', 'extraccion_solventes', 'hidrolisis_enzimatica']",
suma_ponderada,0.25,0.0,0.75,0.0,299716.89,73631.603,16743.752,100.0,0.1853,1.0,0.1869,0.0,1.0341,6,"['molienda', 'secado', 'compostaje', 'fermentacion', 'extraccion_solventes', 'hidrolisis_enzimatica']",
suma_ponderada,0.25,0.25,0.0,0.5,346454.83,30456.711,11007.553,100.0,0.0329,0.5332,0.5712,0.0,0.7821,6,"['molienda', 'secado', 'compostaje', 'extraccion_solventes', 'hidrolisis_enzimatica', 'carbonizacion']",
suma_ponderada,0.25,0.25,0.25,0.25,324002.77,41659.497,15916.327,100.0,0.1061,0.6543,0.2423,0.0,0.7058,6,"['molienda', 'secado', 'compostaje', 'extraccion_solventes', 'hidrolisis_enzimatica', 'carbonizacion']",
suma_ponderada,0.25,0.5,0.0,0.25,238629.15,4741.431,10189.424,100.0,0.3846,0.2552,0.626,0.0,0.7778,6,"['molienda', 'secado', 'compostaje', 'extraccion_solventes', 'pirolisis', 'carbonizacion']",
suma_ponderada,0.25,0.5,0.25,0.0,229332.23,9947.708,13461.941,100.0,0.415,0.3115,0.4067,0.0,0.6593,6,"['molienda', 'secado', 'compostaje', 'extraccion_solventes', 'pirolisis', 'carbonizacion']",
suma_ponderada,0.25,0.75,0.0,0.0,161034.27,-10121.556,5578.152,34.0,0.6378,0.0945,0.9349,0.1905,1.1516,6,"['molienda', 'secado', 'compostaje', 'extraccion_solventes', 'pirolisis', 'carbonizacion']",
